东津世纪城毛坯大三室，户型采光好，学期房，房东急卖，特价房,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,88万
东津世纪城102平精装修三室可拎包入住 无个税,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,86万
东津世纪城 117平精装修 送家具家电,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城 学府区旁边 可正常首付适宜居住性价比高 环境优美,3室2厅|102m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,73万
东津世纪城新上H1经典小三房，南北通透，无遮挡,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
东津世纪城14区 环境好 周边设施齐全,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,89万
东津世纪城精装117平，三室两厅两卫，轻奢风格干净简洁,3室2厅|116m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,105万
东津世纪城14区102平精装小三室，三成首付，业主诚意出售,3室2厅|116m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,86万
急售东津世纪城学 区房，学校对面。户型方正。看房有钥匙,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,88万
东津世纪新城业主诚心出售 纯毛坯随意装修 采光充足可正常首付,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,88万
东津世纪城襄阳小四中 中间楼层装修未入住,3室2厅|99m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,128万
荆州街中心医院东院小区 划片四中片区 三室精装 满五好房。,3室2厅|99m²|低层(共33层)|2016年建造,襄阳市中心医院东院小区   襄城-凯地广场-荆州街91号,123万
东津世纪城 102平纯毛坯房 小区前排 采光视野极好 有钥匙,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
102平小三室 中间楼层 前排无遮挡 采光好 单价7600,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,75万
东津世纪城117平米三房出售价格便宜,3室2厅|100m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,96万
东津世纪城140平毛坯4室位置好视野开阔正常首付,3室2厅|100m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,103万
东津世纪城 边户 可正常首付 南北通透 环境优美 改造空间大,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,76万
37中学.区 总价低可按揭 毛坯小3房3楼 满五年单位院子,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,泰然鑫城   樊城-华洋堂-长征路45号,62万
20中学區 满五 小区大停车方便 上学近 铁十一局七里河,3室2厅|122m²|低层(共33层)|2016年建造,中铁十一局七里河小区   樊城-火车站-七里河路5号,110万
东津世纪城88平精装修，全新家具家电，买就送，拎包入住,3室2厅|122m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
二汽片区三连山鼎府毛坯3室户型方正拎包入住,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,92万
家乐福商圈，铁路二院精装3室3楼，直接拎包入住出售,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,襄樊铁路分局二院住宅2区   樊城-火车站-新华路,51.9万
火车站家乐福万达，铁路二院铁青花园步行到，家乐福,3室2厅|117m²|低层(共33层)|2015年建造,襄樊铁路分局二院住宅2区   樊城-火车站-新华路,52万
铁路二院精装3房51万3楼赠送电动车车库可贷款装修好直接入住,3室2厅|117m²|低层(共33层)|2015年建造,襄樊铁路分局二院住宅2区   樊城-火车站-新华路,51万
沃尔玛 恒大翡翠华庭 满五 精致三室 可停车印染厂家属院,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,印染厂一家属院   樊城-火车站-创业路,63万
南湖广场暖气房 四中学位房 精装3楼 85平三室两厅,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,陈候小区   襄城-鼓楼-陈候巷22号,110万
襄城义教部三室两厅两位楼层好满五年看房方便 安厦,3室2厅|102m²|低层(共33层)|2015年建造,襄阳市中心医院家属院   襄城-鼓楼-荆州街136号,130万
元嘉好房 四中家属院小三室 采光好,3室2厅|102m²|低层(共33层)|2015年建造,襄樊四中教师生活区   襄城-凯地广场-荆州街103号,90万
元嘉好房西门桥农校教师生活区4楼满五 停车方便拎包入住,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,西门桥卫校家属院   襄城-凯地广场-檀溪路15号,82万
东津世纪城14区，交通方便中小学校，大2房家电齐全低价出售,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69万
首付15万精装三房 铁路二院3楼 新华路小学38中双學区,3室2厅|122m²|低层(共33层)|2014年建造,襄樊铁路分局二院住宅2区   樊城-火车站-新华路,51万
14区精装修 好楼层 20多万贷款可正常首付,3室2厅|122m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
二汽富康34中东风中学中间连山鼎府毛坯大三室南北通透,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,93万
青山电气，真武山中间楼层52平36万满五 住房，两证齐全。,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,三酒厂家属西院   襄城-凯地广场-环城南路53号,36万
捡漏好房 鼎府118平3房 只卖83万 南北通透 证齐可分期,3室2厅|122m²|低层(共33层)|2015年建造,连山鼎府   高新区-悦活荟-阳光路2号,83万
婚房急售 悦活荟 鼎府精装大三房 从未入住 南北通透采光好,3室2厅|122m²|低层(共33层)|2015年建造,连山鼎府   高新区-悦活荟-阳光路2号,106万
二汽悦活荟 鼎府经典小三室 毛坯房 刚需,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,76万
4室2厅 102万 南北通透 140平 东津世纪城14区崇文,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,102万
东津世纪城86平毛坯2室全南户型学校商场旁边,3室2厅|137m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
东津世纪城14区122平3室2厅单价7000左右,3室2厅|137m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,89万
东津世纪城低楼层 精装未入住 小区旁 无遮挡,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,80万
东津世纪城 毛坯房给您更多的自由装修空间 诚心出售 价格低,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,77万
首付无要求73万诚售东津世纪城中小学对面看房有钥匙近小区出口,3室2厅|107m²|共5层|2000年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,73万
东津世纪城襄阳小四中 中间楼层装修未入住,3室2厅|107m²|共5层|2000年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,128万
20中学區 小区大停车方便万达商圈 84平110万,襄阳市中心医院东院小区   襄城-凯地广场-荆州街91号,中铁十一局七里河小区   樊城-火车站-七里河路5号,110万
东津世纪城140平毛坯4室位置好视野开阔正常首付,襄阳市中心医院东院小区   襄城-凯地广场-荆州街91号,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,103万
二汽悦活荟 鼎府经典小三室 毛坯房 刚需,3室2厅|102m²|低层(共33层)|2016年建造,连山鼎府   高新区-悦活荟-阳光路2号,76万
价格你说了算，东津14区精装2房， 楼层，送家具家电，急卖,3室2厅|102m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,68万
东津世纪城86平毛坯2室全南户型学校商场旁边,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
连山鼎府毛坯3房 南北通透边户 34中时代天街悦活荟,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,83万
14区精装修 好楼层 20多万贷款可正常首付,3室2厅|102m²|低层(共33层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
二汽 鼎府精装修未入住过新房 边户南北通透 只106万 满二,3室2厅|102m²|低层(共33层)|2014年建造,连山鼎府   高新区-悦活荟-阳光路2号,106万
亏本处理 东津世纪城122平南北通透大三室单价7000左右,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,89万
首付无要求73万诚售东津世纪城中小学对面看房有钥匙近小区出口,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,73万
东津世纪城88平豪华装修，楼层不高拎包入住,3室2厅|117m²|低层(共33层)|2015年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,78万
急售 鼎府 的三房 南北通透 边户 任意装修 看房有钥匙,3室2厅|117m²|低层(共33层)|2015年建造,连山鼎府   高新区-悦活荟-阳光路2号,83万
鼎府精装婚房一次未入住 把边户型南北通透,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,106万
14区精装修 好楼层 20多万贷款可正常首付,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
单价7200买悦活荟鼎府 南北通透大三室 满两年 看房有钥匙,4室2厅|140m²|低层(共33层)|2016年建造,连山鼎府   高新区-悦活荟-阳光路2号,83万
东津14区 两室精装修 单价8600 送家具家电 正常首付,4室2厅|140m²|低层(共33层)|2016年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
14区精装修 好楼层 20多万贷款可正常首付,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,69.5万
二汽悦活荟 鼎府经典小三室 毛坯房 刚需,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,连山鼎府   高新区-悦活荟-阳光路2号,76万
二汽 鼎府精装修未入住过新房 边户南北通透 只106万 满二,3室2厅|100m²|低层(共33层)|2010年建造,连山鼎府   高新区-悦活荟-阳光路2号,106万
4室2厅 102万 南北通透 140平 东津世纪城14区崇文,3室2厅|100m²|低层(共33层)|2010年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,102万
东津世纪城85平送超大阳台可做3房近小区大门世纪中学对面,连山鼎府   高新区-悦活荟-阳光路2号,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,63万
一桥头满五年精装3室拎包入住米公小学人民广场市一医院九悦天城,连山鼎府   高新区-悦活荟-阳光路2号,冠源小区   樊城-武商沃尔玛-大庆西路,72万
东津世纪城86平毛坯2室全南户型学校商场旁边,3室2厅|118m²|低层(共32层)|2014年建造,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
32中 松鹤路小学 黄晶楼层,3室2厅|118m²|低层(共32层)|2014年建造,毛纺小区   樊城-火车站-长虹路39号,73万
急售 住房 2室2厅 64万 南北通透 86平 看房方便,连山鼎府   高新区-悦活荟-阳光路2号,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,64万
新上好房 悦活荟商圈 鼎府精装3房 边户 采光好 满2可分期,连山鼎府   高新区-悦活荟-阳光路2号,连山鼎府   高新区-悦活荟-阳光路2号,92万
20中學区610航宇对面 十一局机关大院 精装 院大停车方便,4室2厅|140m²|低层(共33层)|2014年建造,中铁十一局机关大院   樊城-万达广场-七里河路2号,90万
玻璃厂家属院 靠近春天大道 红光路小学,4室2厅|140m²|低层(共33层)|2014年建造,玻璃厂家属院   樊城-火车站-长征路,48万
市中医院附近精装修两房小区免费停车即买即住,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,市经信委泰安路生活区   樊城-火车站-泰安路8号,64万
松鹤路小学 32中學区房子 两室出售 长虹路沃尔玛泛悦商圈,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,毛纺小区   樊城-火车站-长虹路39号,78万
20中学區 精装两室拎包入住 前后无遮挡采光好,2室2厅|85m²|低层(共33层)|2014年建造,中铁十一局机关大院   樊城-万达广场-七里河路2号,96万
31中和晨光小学双学区幸福小区标准二室拎包入,2室2厅|85m²|低层(共33层)|2014年建造,幸福小区   樊城-火车站-前进路146号,50万
20中3楼背后宝贝回家不过马路 大院停车方便小三室三代同堂,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,长安花园(春园路)   樊城-火车站-春园路35号,106万
首付25万起买20中划片宝贝上学不过马路大两室停车方便,东津世纪城14区崇文府   襄州-东津世纪城-劲松路,襄阳市襄州区教体局家属院   樊城-火车站-春园西路35号,86万
房主在住看房提前联系,3室1厅|87m²|共5层|2000年建造,结核病防治院家属院   樊城-火车站-新华路20号,86万
